t,T+R,N_0
959,1,6.77897e-19
960,1,1.20161e-18
961,1,1.45065e-18
962,1,1.32501e-18
963,1,9.69108e-19
964,1,6.4175e-19
965,1,5.17826e-19
966,1,5.7448e-19
967,1,6.41181e-19
968,1,5.6336e-19
969,1,3.43501e-19
970,1,1.46842e-19
971,1,1.68895e-19
972,1,4.71359e-19
973,1,9.16848e-19
974,1,1.25497e-18
975,1,1.29519e-18
976,1,1.03624e-18
977,1,6.57391e-19
978,1,3.83002e-19
979,1,3.2612e-19
980,1,4.27396e-19
981,1,5.27836e-19
982,1,5.10031e-19
983,1,3.93632e-19
984,1,3.12004e-19
985,1,3.93329e-19
986,1,6.44386e-19
987,1,9.30991e-19
988,1,1.07139e-18
989,1,9.70253e-19
990,1,6.89644e-19
991,1,4.03739e-19
992,1,2.73392e-19
993,1,3.3686e-19
994,1,4.9701e-19
995,1,6.09007e-19
996,1,5.95821e-19
997,1,5.01251e-19
998,1,4.42907e-19
999,1,5.07301e-19
1000,1,6.732e-19
1001,1,8.24268e-19
1002,1,8.39932e-19
1003,1,6.91627e-19
1004,1,4.68514e-19
1005,1,3.12881e-19
1006,1,3.1611e-19
1007,1,4.55329e-19
1008,1,6.17411e-19
1009,1,6.8864e-19
1010,1,6.38714e-19
1011,1,5.3521e-19
1012,1,4.81182e-19
1013,1,5.28507e-19
1014,1,6.36663e-19
1015,1,7.08009e-19
1016,1,6.69346e-19
1017,1,5.33514e-19
1018,1,3.92074e-19
1019,1,3.45504e-19
1020,1,4.26434e-19
1021,1,5.75781e-19
1022,1,6.89174e-19
1023,1,6.95897e-19
1024,1,6.08783e-19
1025,1,5.07844e-19
1026,1,4.73468e-19
1027,1,5.23413e-19
1028,1,6.02908e-19
1029,1,6.33307e-19
1030,1,5.78476e-19
1031,1,4.75195e-19
1032,1,4.03964e-19
1033,1,4.24531e-19
1034,1,5.27966e-19
1035,1,6.42987e-19
1036,1,6.90678e-19
